Date,Close,High,Low,Open,Volume
1986-03-26,0.05779797211289406,0.05832819516722927,0.05567707989555322,0.05620730294988843,22752000
1986-03-27,0.05885842442512512,0.05885842442512512,0.05779797820468578,0.05779797820468578,16848000
1986-03-31,0.05832821503281593,0.058858438267736055,0.057267768562975684,0.058858438267736055,12873600
1986-04-01,0.05779797211289406,0.05832819516722927,0.057797972112894065,0.05832819516722927,11088000
1986-04-02,0.05832821503281593,0.059388661502656176,0.057797991797895805,0.057797991797895805,27014400
1986-04-03,0.05885842442512512,0.06044909375578413,0.05885842442512512,0.05885842442512512,23040000
1986-04-04,0.05885842442512512,0.05938864753534479,0.05885842442512512,0.05885842442512512,26582400
1986-04-07,0.05779797211289406,0.05938864127589969,0.05673752600422364,0.058858418221564485,16560000
1986-04-08,0.05832821503281593,0.059388661502656176,0.057797991797895805,0.057797991797895805,10252800
1986-04-09,0.05938863754272461,0.059918860563729956,0.05832819150071393,0.05832819150071393,12153600
1986-04-10,0.059918876737356186,0.06044909990148223,0.05832820724497807,0.05938865357323015,13881600
1986-04-11,0.06097929924726486,0.06204035502625717,0.060449076290242425,0.060449076290242425,17222400
1986-04-14,0.06150953844189644,0.062040371403998366,0.06097931534490294,0.06097931534490294,12153600
1986-04-15,0.06150953844189644,0.06150953844189644,0.05938864605392244,0.06150953844189644,9302400
1986-04-16,0.06363104283809662,0.06416126595294823,0.06097931739870957,0.06150954051356119,31910400
1986-04-17,0.06416122615337372,0.06416122615337372,0.06363100336742232,0.06363100336742232,22003200
1986-04-18,0.06204037740826607,0.06416127000150004,0.061509544394790124,0.06416127000150004,21628800
1986-04-21,0.06204037740826607,0.06257060055657457,0.06044909809817313,0.06204037740826607,22924800
1986-04-22,0.06097929924726486,0.06204035502625717,0.06097929924726486,0.06204035502625717,15552000
1986-04-23,0.061244428157806396,0.061509541997243206,0.06044909574196077,0.06097931886960199,15609600
1986-04-24,0.067342609167099,0.06840305546805821,0.060979321496173834,0.06124443079579733,62352000
1986-04-25,0.07158499211072922,0.07450122122001979,0.06787282082098574,0.06787282082098574,85795200
1986-04-28,0.0721152126789093,0.07264543572125154,0.07105415672917925,0.07158498963656706,28886400
1986-04-29,0.06999373435974121,0.07211523711296237,0.06946351113774897,0.07211523711296237,30326400
1986-04-30,0.06840305030345917,0.07052394274524496,0.06681238097211982,0.06999371963479852,30902400
1986-05-01,0.067342609167099,0.06840305546805821,0.0662821628661398,0.06840305546805821,54345600
1986-05-02,0.067342609167099,0.06840305546805821,0.0668123860166194,0.067342609167099,20246400
1986-05-05,0.06681238114833832,0.06734260426018324,0.06681238114833832,0.06734260426018324,3254400
1986-05-06,0.067342609167099,0.06840305546805821,0.067342609167099,0.067342609167099,9734400
1986-05-07,0.067342609167099,0.0678728323175786,0.0662821628661398,0.067342609167099,5155200
1986-05-08,0.06787282228469849,0.06787282228469849,0.06681237614049318,0.06734259921259583,3542400
1986-05-09,0.067342609167099,0.0678728323175786,0.067342609167099,0.0678728323175786,6076800
1986-05-12,0.06787282228469849,0.06946349150100645,0.06734259921259583,0.06734259921259583,10483200
1986-05-13,0.06840305030345917,0.06893327341390561,0.06787282719301271,0.06787282719301271,3830400
1986-05-14,0.06787282228469849,0.06840304535680114,0.06787282228469849,0.06840304535680114,9302400
1986-05-15,0.06787282228469849,0.0689332684289038,0.06787282228469849,0.06787282228469849,3801600
1986-05-16,0.06840305030345917,0.06999371963479852,0.06787282719301271,0.06787282719301271,11952000
1986-05-19,0.067342609167099,0.06840305546805821,0.0668123860166194,0.06840305546805821,11001600
1986-05-20,0.06681238114833832,0.06734260426018324,0.0662821580364934,0.06734260426018324,61977600
1986-05-21,0.06575190275907516,0.06734257131646108,0.06575190275907516,0.06681234846399911,8092800
1986-05-22,0.06575190275907516,0.06628212561153714,0.06575190275907516,0.06575190275907516,4406400
1986-05-23,0.06575190275907516,0.06681234846399911,0.06575190275907516,0.06575190275907516,4089600
1986-05-27,0.06787282228469849,0.06787282228469849,0.06575192999628786,0.06575192999628786,13881600
1986-05-28,0.06999373435974121,0.06999373435974121,0.06787284147177224,0.06787284147177224,15523200
1986-05-29,0.07158499211072922,0.07264543823206544,0.06946349000299008,0.0699937130636582,45676800
1986-05-30,0.07423610240221024,0.07529654845195319,0.07211521030272434,0.07211521030272434,27072000
1986-06-02,0.0721152126789093,0.07423610484827826,0.0721152126789093,0.07423610484827826,19728000
1986-06-03,0.0721152126789093,0.0721152126789093,0.07105415672917925,0.0721152126789093,5011200
1986-06-04,0.07158499211072922,0.07264543823206544,0.07105415918499444,0.07211521517139734,4723200
1986-06-05,0.07264544814825058,0.07264544814825058,0.07105416888396818,0.07158500188216224,13708800
1986-06-06,0.07264544814825058,0.07264544814825058,0.07158500188216224,0.07264544814825058,3427200
1986-06-09,0.06946349143981934,0.07264543973471224,0.06946349143981934,0.07264543973471224,12672000
1986-06-10,0.06946349143981934,0.06946349143981934,0.06840304529654812,0.06946349143981934,3427200
1986-06-11,0.06946349143981934,0.06946349143981934,0.06840304529654812,0.06946349143981934,2304000
1986-06-12,0.06681238114833832,0.06946349670756291,0.0662821580364934,0.06946349670756291,13708800
1986-06-13,0.06681238114833832,0.06734260426018324,0.0662821580364934,0.06681238114833832,7891200
1986-06-16,0.06628214567899704,0.06734259170497967,0.06575192266600573,0.06681236869198835,9590400
1986-06-17,0.067342609167099,0.06840305546805821,0.0668123860166194,0.0668123860166194,13075200
